ID,0.25,0.5,1.0,2.0,4.0,6.0
A90268,True,True,True,True,True,True
A90315,True,True,True,True,True,True
A90333,True,True,True,True,True,True
A90344,True,True,True,True,True,True
A90392,True,True,True,True,True,True
A90409,True,True,True,True,True,True
A90420,True,True,True,True,True,True
A90478,True,True,True,True,True,True
A90485,False,False,True,True,True,False
A90506,True,True,True,True,True,True
A90510,True,True,True,True,True,True
A90532,True,True,True,True,True,True
A90568,True,True,True,True,True,True
A90577,True,True,True,True,True,True
A90592,True,True,True,True,True,True
A90608,True,True,True,True,True,True
A90663,True,True,True,True,True,True
A90706,True,True,True,True,True,True
A90720,True,True,True,True,True,True
A90733,True,True,True,True,True,False
A90770,True,True,True,True,True,True
A90846,True,True,True,True,True,True
A90860,True,True,True,True,True,False
A90868,True,True,True,True,True,True
A90881,True,True,True,True,True,True
A90895,True,True,True,True,True,True
A90903,True,True,True,True,True,True
A90911,True,True,True,True,True,True
A90916,True,True,True,True,True,True
A90937,True,True,True,True,True,True
A90949,True,True,True,True,True,True
A90986,True,True,True,True,True,True
A91016,True,True,True,True,True,True
A91040,True,True,True,True,True,True
A91041,True,True,True,True,True,True
A91082,True,True,True,True,True,True
A91126,True,True,True,True,True,True
A91177,True,True,True,True,True,True
A91213,True,True,True,True,True,True
A91250,False,False,False,False,False,False
A91307,True,True,True,True,True,True
A91362,True,True,True,True,True,True
A91375,True,True,True,True,True,True
A91381,True,True,True,True,True,True
A91399,True,True,True,True,True,True
A91437,True,True,True,True,True,False
A91487,True,True,True,True,True,True
A91495,True,True,True,True,True,True
A91509,True,True,True,True,True,True
A91518,True,True,True,True,True,False
A91584,False,False,False,False,False,False
A91609,True,True,True,True,True,True
A91619,True,True,True,True,True,True
A91687,True,True,True,True,True,True
A91717,True,True,True,True,True,True
A91769,True,True,True,True,True,True
A91775,True,True,True,True,True,True
A91779,True,True,True,True,True,False
A91784,True,True,True,True,True,True
A91791,True,True,True,True,True,True
A91793,True,True,True,True,True,True
A91815,True,True,True,True,True,True
A91837,True,True,True,True,True,True
A91846,True,True,True,True,True,True
A91848,True,True,True,True,True,True
A91885,True,True,True,True,True,True
A91992,True,True,True,True,True,True
A91993,True,True,True,True,True,True
A92021,True,True,True,True,True,True
A92033,True,True,True,True,True,True
A92064,True,True,True,True,True,True
A92080,True,True,True,True,True,True
A92108,True,True,True,True,True,True
A92120,True,True,True,True,True,True
A92127,True,True,True,True,True,True
A92146,True,True,True,True,True,True
A92151,True,True,True,True,True,True
A92159,True,True,True,True,True,True
A92178,True,True,True,True,True,True
A92257,True,True,True,True,True,True
A92275,True,True,True,True,True,False
A92280,False,False,False,True,True,True
A92299,True,True,True,True,True,True
A92318,True,True,True,True,True,True
A92381,True,True,True,True,True,True
A92410,True,True,True,True,True,True
A92424,True,True,True,True,True,True
A92426,True,True,True,True,True,True
A92428,True,True,True,True,True,True
A92472,True,True,True,True,True,True
A92474,True,True,True,True,True,True
A92482,True,True,True,True,True,True
A92551,True,True,True,True,True,True
A92579,True,True,True,True,True,True
A92623,True,True,True,True,True,False
A92661,True,True,True,True,True,True
A92662,True,True,True,True,True,True
A92750,True,True,True,True,True,True
A92800,True,True,True,True,True,True
A92828,True,True,True,True,True,True
A92877,True,True,True,True,True,True
A92903,True,True,True,True,True,True
A92929,True,True,True,True,True,True
A92942,True,True,True,True,True,False
A92945,True,True,True,True,True,True
A92974,True,True,True,True,True,True
A93011,True,True,True,True,True,True
A93015,True,True,True,True,True,True
A93033,True,True,True,True,True,True
A93039,True,True,True,True,True,True
A93053,True,True,True,True,True,True
A93067,True,True,True,True,True,True
A93071,True,True,True,True,True,True
A93080,True,True,True,True,True,True
A93094,True,True,True,True,True,True
A93108,True,True,True,True,True,True
A93136,True,True,True,True,True,True
A93152,True,True,True,True,True,True
A93199,True,True,True,True,True,True
A93232,True,True,True,True,True,True
A93248,True,True,True,True,True,True
A93251,True,True,True,True,True,True
A93266,True,True,True,True,True,True
A93267,True,True,True,True,True,True
A93268,True,True,True,True,True,True
A93270,True,True,True,True,True,True
A93271,True,True,True,True,False,False
